Time,Average(B)
(us),(mV)

-12.95825174,-0.02081649
-12.94575174,-0.02146983
-12.93325174,-0.02100963
-12.92075174,-0.02611240
-12.90825174,-0.02500601
-12.89575174,-0.02439082
-12.88325174,-0.02392107
-12.87075174,-0.02492494
-12.85825174,-0.02106687
-12.84575175,-0.01996046
-12.83325175,-0.01921412
-12.82075175,-0.01948357
-12.80825175,-0.02014883
-12.79575175,-0.01980785
-12.78325175,-0.02386146
-12.77075175,-0.02090949
-12.75825175,-0.02209933
-12.74575175,-0.02168682
-12.73325175,-0.01609999
-12.72075175,-0.02075926
-12.70825175,-0.01767376
-12.69575175,-0.02022037
-12.68325175,-0.02538276
-12.67075176,-0.02620541
-12.65825176,-0.02474372
-12.64575176,-0.02667753
-12.63325176,-0.02859705
-12.62075176,-0.02406891
-12.60825176,-0.02579050
-12.59575176,-0.02761701
-12.58325176,-0.02481288
-12.57075176,-0.02549007
-12.55825176,-0.02445519
-12.54575176,-0.01854885
-12.53325176,-0.02438843
-12.52075176,-0.02546621
-12.50825177,-0.02438844
-12.49575177,-0.02273122
-12.48325177,-0.02401884
-12.47075177,-0.02429307
-12.45825177,-0.02527070
-12.44575177,-0.02506801
-12.43325177,-0.02303167
-12.42075177,-0.02111694
-12.40825177,-0.01864662
-12.39575177,-0.02136492
-12.38325177,-0.02396637
-12.37075177,-0.02401883
-12.35825177,-0.02474849
-12.34575177,-0.02526831
-12.33325178,-0.02876633
-12.32075178,-0.03084084
-12.30825178,-0.02812014
-12.29575178,-0.02485102
-12.28325178,-0.02517530
-12.27075178,-0.02340126
-12.25825178,-0.02298637
-12.24575178,-0.02684922
-12.23325178,-0.02849450
-12.22075178,-0.02580720
-12.20825178,-0.02220665
-12.19575178,-0.02101678
-12.18325178,-0.02104778
-12.17075179,-0.02266446
-12.15825179,-0.03012071
-12.14575179,-0.02443613
-12.13325179,-0.02641761
-12.12075179,-0.02229486
-12.10825179,-0.02413332
-12.09575179,-0.01824840
-12.08325179,-0.02136968
-12.07075179,-0.02392107
