Time,Average(B)
(us),(mV)

-10.59241421,-0.00881542
-10.57991421,-0.01143119
-10.56741421,-0.01381805
-10.55491421,-0.01647913
-10.54241421,-0.01173163
-10.52991421,-0.01193908
-10.51741421,-0.01178170
-10.50491421,-0.01427824
-10.49241422,-0.01526066
-10.47991422,-0.01046548
-10.46741422,-0.01230152
-10.45491422,-0.01058470
-10.44241422,-0.01264249
-10.42991422,-0.01422579
-10.41741422,-0.01444278
-10.40491422,-0.00817399
-10.39241422,-0.01001719
-10.37991422,-0.01475276
-10.36741422,-0.01365590
-10.35491422,-0.00974059
-10.34241422,-0.00887026
-10.32991423,-0.01058470
-10.31741423,-0.01365113
-10.30491423,-0.01114744
-10.29241423,-0.01386097
-10.27991423,-0.01178171
-10.26741423,-0.00922316
-10.25491423,-0.00900856
-10.24241423,-0.01037487
-10.22991423,-0.01559209
-10.21741423,-0.01522489
-10.20491423,-0.01183178
-10.19241423,-0.01450001
-10.17991423,-0.01183416
-10.16741423,-0.01385381
-10.15491424,-0.01453339
-10.14241424,-0.01281895
-10.12991424,-0.01386574
-10.11741424,-0.01533935
-10.10491424,-0.01218707
-10.09241424,-0.01620491
-10.07991424,-0.01339361
-10.06741424,-0.01309555
-10.05491424,-0.01234683
-10.04241424,-0.01074446
-10.02991424,-0.01120943
-10.01741424,-0.01220137
-10.00491424,-0.01376320
-9.99241425,-0.01218468
-9.97991425,-0.00643333
-9.96741425,-0.00952837
-9.95491425,-0.00802376
-9.94241425,-0.01109258
-9.92991425,-0.01245174
-9.91741425,-0.01411610
-9.90491425,-0.01437841
-9.89241425,-0.01510089
-9.87991425,-0.01494829
-9.86741425,-0.00834806
-9.85491425,-0.01057992
-9.84241425,-0.00807862
-9.82991425,-0.00943061
-9.81741426,-0.01078738
-9.80491426,-0.01032956
-9.79241426,-0.01068961
-9.77991426,-0.00881303
-9.76741426,-0.01303355
-9.75491426,-0.00797131
-9.74241426,-0.01188423
-9.72991426,-0.01011972
-9.71741426,-0.00858889
-9.70491426,-0.00760649
-9.69241426,-0.01011495
-9.67991426,-0.00912540
-9.66741426,-0.01115221
-9.65491427,-0.01459062
-9.64241427,-0.01370837
-9.62991427,-0.01772382
-9.61741427,-0.01986746
-9.60491427,-0.01604515
-9.59241427,-0.01777389
-9.57991427,-0.01343891
-9.56741427,-0.01250659
-9.55491427,-0.01110213
-9.54241427,-0.01604992
-9.52991427,-0.01354622
-9.51741427,-0.01474800
-9.50491427,-0.01152895
-9.49241427,-0.01180555
-9.47991428,-0.01382043
-9.46741428,-0.01939296
-9.45491428,-0.01845585
-9.44241428,-0.01839863
-9.42991428,-0.01839386
-9.41741428,-0.01750682
-9.40491428,-0.01557541
-9.39241428,-0.01480046
-9.37991428,-0.01401119
-9.36741428,-0.01256381
-9.35491428,-0.01611668
-9.34241428,-0.01235160
-9.32991428,-0.01187708
-9.31741429,-0.01516050
-9.30491429,-0.01563741
-9.29241429,-0.01496737
-9.27991429,-0.00891079
-9.26741429,-0.00733942
-9.25491429,-0.00964998
-9.24241429,-0.00933285
-9.22991429,-0.01594978
-9.21741429,-0.01474084
-9.20491429,-0.01291433
-9.19241429,-0.01782397
-9.17991429,-0.01443801
-9.16741429,-0.01374175
-9.15491430,-0.00970960
-9.14241430,-0.01256858
-9.12991430,-0.01484098
-9.11741430,-0.01377036
-9.10491430,-0.01385620
-9.09241430,-0.01245890
-9.07991430,-0.01406604
-9.06741430,-0.01479330
-9.05491430,-0.01345084
-9.04241430,-0.01407318
-9.02991430,-0.01135250
-9.01741430,-0.01204161
-9.00491430,-0.01547765
-8.99241430,-0.01324101
-8.97991431,-0.01395635
-8.96741431,-0.01464308
-8.95491431,-0.01572563
-8.94241431,-0.01276411
-8.92991431,-0.01136204
-8.91741431,-0.01314324
-8.90491431,-0.01178170
-8.89241431,-0.00980259
-8.87991431,-0.01230153
-8.86741431,-0.01266873
-8.85491431,-0.00916355
-8.84241431,-0.00547476
-8.82991431,-0.01073492
-8.81741432,-0.01203207
-8.80491432,-0.01306932
-8.79241432,-0.01161241
-8.77991432,-0.00963806
-8.76741432,-0.01006250
-8.75491432,-0.01073254
-8.74241432,-0.01155279
-8.72991432,-0.01323623
-8.71741432,-0.01547765
-8.70491432,-0.01172448
-8.69241432,-0.00891556
-8.67991432,-0.01203684
-8.66741432,-0.01052270
-8.65491432,-0.01329345
-8.64241433,-0.01584247
-8.62991433,-0.01418049
-8.61741433,-0.01079215
-8.60491433,-0.00640947
-8.59241433,-0.00974536
-8.57991433,-0.01474800
-8.56741433,-0.01319093
-8.55491433,-0.01366306
-8.54241433,-0.00969528
-8.52991433,-0.01348422
-8.51741433,-0.01552773
-8.50491433,-0.01558733
-8.49241433,-0.01203685
-8.47991434,-0.01793604
-8.46741434,-0.01410180
-8.45491434,-0.01173163
-8.44241434,-0.01209407
-8.42991434,-0.01371314
-8.41741434,-0.01656258
-8.40491434,-0.01303594
-8.39241434,-0.01114743
-8.37991434,-0.00927562
-8.36741434,-0.00649532
-8.35491434,-0.00949022
-8.34241434,-0.01131673
-8.32991434,-0.01104728
-8.31741434,-0.01109497
-8.30491435,-0.01234444
-8.29241435,-0.01078260
-8.27991435,-0.01089707
-8.26741435,-0.01302163
-8.25491435,-0.01559210
-8.24241435,-0.01543234
-8.22991435,-0.01328154
-8.21741435,-0.00848159
-8.20491435,-0.00761841
-8.19241435,-0.00828844
-8.17991435,-0.00604704
-8.16741435,-0.01052509
-8.15491435,-0.00875819
-8.14241436,-0.01297871
-8.12991436,-0.01387050
-8.11741436,-0.01375605
-8.10491436,-0.00931854
-8.09241436,-0.01262819
-8.07991436,-0.01073731
-8.06741436,-0.01287857
-8.05491436,-0.01474799
-8.04241436,-0.01251850
-8.02991436,-0.01418049
-8.01741436,-0.01077784
-8.00491436,-0.00760648
-7.99241436,-0.01286902
-7.97991436,-0.00844105
-7.96741437,-0.01000765
-7.95491437,-0.01084222
-7.94241437,-0.01442609
-7.92991437,-0.01178647
-7.91741437,-0.00980497
-7.90491437,-0.01339838
-7.89241437,-0.01042493
-7.87991437,-0.01156949
-7.86741437,-0.01145979
-7.85491437,-0.01442847
-7.84241437,-0.01167679
-7.82991437,-0.01156710
-7.81741437,-0.01193909
-7.80491438,-0.00875103
-7.79241438,-0.00911824
-7.77991438,-0.01037009
-7.76741438,-0.01344131
-7.75491438,-0.01417811
-7.74241438,-0.01285950
-7.72991438,-0.01350568
-7.71741438,-0.00970244
-7.70491438,-0.00897518
-7.69241438,-0.01057039
-7.67991438,-0.00776625
